UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/05/20,08/04/20,08/09/20,08/08/20,08/07/20,08/06/20,08/11/20,08/10/20,08/12/20,08/14/20,08/13/20,08/15/20,08/18/20,08/17/20,08/16/20,08/19/20,08/20/20,08/25/20,08/24/20,08/23/20,08/22/20,08/21/20,08/26/20,08/31/20,08/30/20,08/29/20,08/28/20,08/27/20,09/02/20,09/01/20,09/03/20,09/04/20,09/06/20,09/05/20,09/07/20,09/09/20,09/08/20,09/10/20,09/14/20,09/13/20,09/12/20,09/11/20,09/16/20,09/15/20,09/18/20,09/17/20,09/22/20,09/21/20,09/20/20,09/19/20,09/25/20,09/24/20,09/23/20,09/29/20,09/28/20,09/27/20,09/26/20,10/01/20,09/30/20,10/05/20,10/04/20,10/03/20,10/02/20,10/06/20,10/08/20,10/07/20,10/12/20,10/11/20,10/10/20,10/09/20,10/15/20,10/14/20,10/13/20,10/18/20,10/17/20,10/16/20,10/19/20,10/26/20,10/25/20,10/24/20,10/23/20,10/22/20,10/21/20,10/20/20,10/28/20,10/27/20,11/02/20,11/01/20,10/31/20,10/30/20,10/29/20,11/03/20,11/05/20,11/04/20,11/11/20,11/10/20,11/09/20,11/08/20,11/07/20,11/06/20,11/13/20,11/12/20,11/16/20,11/15/20,11/14/20
,,,,,,Chechen Republic,Russia,43.39761470000001,45.6985005,"Chechen Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,9,9,9,10,10,12,15,15,16,17,22,22,22,30,47,49,64,105,108,115,175,219,264,303,323,347,365,387,409,429,447,465,485,504,525,553,583,615,645,674,705,733,759,787,813,841,865,891,918,943,966,986,1005,1026,1046,1066,1090,1112,1133,1152,1174,1192,1209,1227,1247,1264,1278,1291,1306,1326,1345,1365,1384,1400,1420,1441,1464,1481,1496,1513,1529,1543,1560,1579,1600,1619,1634,1645,1654,1664,1677,1694,1708,1713,1723,1736,1748,1757,1772,1786,1795,1801,1809,1814,1821,1832,1842,1851,1863,1878,1895,1908,1919,1927,1937,1949,1958,1971,1985,2000,2010,2018,2030,2046,2060,2072,2082,2093,2114,2102,2147,2140,2132,2122,2158,2152,2165,2177,2170,2183,2200,2194,2190,2205,2209,2240,2233,2228,2222,2215,2245,2270,2265,2258,2253,2249,2280,2274,2286,2290,2303,2296,2307,2322,2314,2327,2347,2341,2337,2333,2356,2352,2368,2361,2388,2384,2378,2374,2404,2397,2393,2424,2419,2413,2409,2434,2428,2458,2451,2447,2441,2463,2473,2469,2498,2491,2484,2479,2513,2507,2503,2528,2522,2517,2535,2586,2577,2568,2559,2551,2545,2541,2606,2596,2669,2656,2643,2629,2617,2683,2724,2701,2935,2891,2849,2812,2780,2751,3031,2982,3195,3138,3084
,,,,,,Chelyabinsk Oblast,Russia,54.4223954,61.1865846,"Chelyabinsk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,9,12,14,14,21,21,23,26,27,31,32,32,34,34,40,40,43,48,51,53,57,61,68,78,92,102,111,168,240,302,360,408,427,494,538,568,631,682,768,812,839,881,951,1041,1118,1212,1263,1307,1407,1476,1574,1659,1755,1829,1913,1993,2073,2135,2180,2216,2286,2368,2509,2659,2795,2929,3042,3150,3263,3371,3499,3614,3737,3880,4015,4130,4221,4341,4482,4651,4822,4958,5125,5291,5467,5649,5825,6083,6268,6442,6602,6760,6912,7058,7202,7339,7473,7602,7730,7861,7989,8127,8262,8391,8520,8649,8768,8900,9032,9164,9289,9420,9552,9682,9816,9946,10078,10208,10329,10453,10584,10712,10836,10961,11080,11197,11307,11416,11523,11731,11628,12093,11999,11912,11823,12261,12176,12349,12513,12433,12589,12804,12737,12668,12875,12946,13289,13219,13160,13090,13019,13351,13682,13620,13558,13488,13420,13826,13753,13877,13934,14063,14000,14122,14249,14187,14318,14581,14514,14453,14384,14724,14652,14857,14796,15142,15065,14997,14928,15367,15295,15220,15619,15551,15489,15424,15768,15692,16093,16007,15926,15847,16182,16368,16274,16743,16649,16553,16460,17021,16924,16832,17325,17223,17123,17427,18255,18122,17986,17857,17740,17630,17526,18538,18393,19329,19159,18995,18837,18686,19498,19845,19670,20959,20765,20576,20390,20205,20024,21357,21156,21984,21773,21564
,,,,,,Chukotka Autonomous Okrug,Russia,66.0006475,169.4900869,"Chukotka Autonomous Okrug, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,6,6,11,12,15,17,17,17,18,20,23,24,24,25,26,27,27,28,30,31,31,35,36,42,47,56,56,56,56,56,56,58,59,61,61,63,66,73,78,80,80,81,87,91,97,102,106,106,110,112,114,120,129,129,129,129,129,129,130,132,133,133,134,135,135,136,138,138,138,138,138,138,139,139,139,140,141,142,143,144,144,144,144,144,145,146,146,146,146,148,148,148,150,150,151,151,152,152,152,152,152,152,154,154,154,154,162,160,159,157,162,162,162,162,162,162,164,164,164,165,165,168,168,167,167,167,169,171,171,171,171,170,172,172,172,172,174,174,174,174,174,175,179,179,178,177,180,180,181,180,183,183,182,182,187,185,185,192,192,190,190,194,192,201,200,199,196,201,204,202,210,210,209,208,214,212,212,220,220,218,220,231,230,230,224,222,221,220,233,233,243,243,241,239,239,247,254,250,274,273,267,267,267,259,281,277,291,286,284
,,,,,,Chuvashia Republic,Russia,55.4259922,47.0849429,"Chuvashia Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,15,17,32,39,50,65,65,78,125,137,164,193,225,235,262,305,348,383,421,463,502,539,586,627,676,731,795,844,892,950,1018,1081,1144,1220,1282,1360,1439,1522,1603,1700,1787,1863,1936,2014,2104,2195,2290,2387,2472,2545,2626,2709,2798,2885,2973,3061,3148,3231,3311,3395,3475,3561,3646,3725,3802,3878,3956,4033,4112,4186,4259,4331,4401,4472,4541,4612,4678,4740,4802,4860,4915,4973,5025,5076,5134,5194,5253,5315,5386,5454,5521,5590,5657,5718,5775,5830,5886,5940,5998,6055,6110,6164,6216,6264,6310,6352,6398,6440,6484,6529,6567,6609,6653,6694,6734,6774,6811,6846,6915,6880,7042,7010,6980,6947,7108,7072,7144,7213,7179,7247,7342,7309,7279,7378,7414,7585,7551,7516,7481,7448,7619,7774,7743,7713,7682,7651,7836,7803,7865,7895,7953,7923,7983,8043,8014,8070,8169,8145,8121,8096,8221,8194,8274,8248,8380,8352,8327,8301,8459,8434,8407,8570,8540,8512,8486,8623,8597,8731,8704,8678,8650,8759,8823,8789,8954,8919,8886,8855,9067,9027,8989,9191,9147,9105,9240,9606,9550,9495,9438,9384,9332,9285,9724,9666,10016,9956,9898,9841,9782,10074,10198,10135,10610,10535,10464,10394,10327,10262,10769,10688,11023,10939,10852
,,,,,,Republic of Crimea,Russia,45.2835,34.2008,"Republic of Crimea, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,19,20,20,20,16,16,16,18,18,20,21,22,23,26,29,29,31,32,32,34,37,40,43,45,45,46,46,51,53,57,67,69,70,79,89,92,100,104,105,111,128,160,168,177,189,193,202,209,239,245,258,272,281,294,298,299,314,324,326,340,346,349,355,361,369,375,385,387,392,399,405,413,424,438,446,457,458,483,490,512,539,546,561,575,575,590,595,608,613,623,631,638,644,646,681,685,691,698,706,712,723,761,761,789,804,815,831,855,871,878,889,900,917,931,943,969,983,994,1012,1038,1056,1077,1104,1116,1139,1163,1176,1204,1241,1269,1323,1305,1437,1410,1386,1347,1517,1469,1557,1637,1595,1664,1784,1760,1715,1820,1833,2064,2009,1957,1910,1855,2097,2399,2347,2271,2187,2131,2511,2453,2542,2582,2706,2625,2778,2891,2845,2943,3226,3149,3080,3010,3341,3301,3494,3416,3808,3729,3650,3573,4053,3972,3889,4387,4305,4219,4137,4564,4474,4958,4855,4755,4657,5063,5288,5170,5862,5710,5553,5413,6331,6168,6010,6840,6673,6502,7009,8387,8249,7994,7790,7585,7373,7170,8784,8533,9816,9655,9452,9225,9009,9955,10364,10157,11364,11157,11016,10868,10700,10494,11798,11584,12367,12206,12005
,,,,,,Dagestan Republic,Russia,43.05749160000001,47.1332224,"Dagestan Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,13,15,25,25,25,25,30,43,44,57,58,84,84,84,100,105,154,213,257,292,331,371,417,454,567,724,827,994,1147,1231,1389,1553,1662,1798,1958,2086,2267,2372,2468,2560,2653,2772,2888,2997,3095,3192,3280,3371,3460,3553,3643,3746,3855,3982,4095,4205,4294,4455,4579,4704,4830,4955,5096,5228,5341,5463,5587,5743,5858,5970,6077,6175,6272,6367,6463,6557,6652,6745,6837,6927,7015,7103,7188,7267,7340,7415,7488,7561,7636,7707,7775,7840,7905,7968,8025,8080,8132,8184,8232,8280,8327,8374,8422,8468,8514,8560,8602,8647,8691,8735,8778,8819,8860,8901,8941,8981,9021,9062,9103,9143,9183,9223,9266,9308,9350,9392,9475,9435,9665,9613,9565,9517,9763,9714,9812,9917,9861,9974,10151,10091,10032,10210,10272,10586,10521,10458,10395,10334,10651,10999,10928,10858,10788,10716,11145,11073,11219,11292,11442,11367,11520,11678,11598,11760,12092,12008,11925,11842,12260,12175,12429,12345,12768,12685,12600,12514,13016,12933,12851,13347,13264,13182,13100,13514,13429,13852,13768,13684,13599,13935,14100,14018,14427,14345,14264,14182,14681,14597,14512,14944,14856,14769,15030,15619,15537,15452,15369,15283,15200,15115,15788,15705,16220,16133,16046,15961,15875,16306,16479,16393,17026,16932,16841,16751,16661,16570,17222,17125,17522,17424,17326
,,,,,,Ingushetia Republic,Russia,43.11542075,45.01713552,"Ingushetia Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,25,25,29,29,29,34,34,90,153,191,227,269,308,354,397,436,474,515,552,590,633,679,722,769,814,865,918,966,1018,1067,1108,1152,1199,1245,1290,1333,1372,1407,1443,1480,1515,1561,1605,1648,1692,1734,1778,1823,1866,1906,1955,2000,2044,2083,2127,2164,2197,2228,2268,2307,2342,2368,2399,2438,2474,2510,2550,2587,2623,2657,2693,2725,2755,2782,2806,2828,2860,2889,2916,2946,2978,2995,3020,3047,3069,3088,3112,3138,3154,3169,3185,3205,3228,3253,3280,3302,3318,3328,3344,3366,3393,3419,3438,3448,3459,3481,3502,3529,3549,3578,3605,3620,3644,3665,3688,3709,3729,3744,3770,3755,3869,3847,3822,3792,3904,3885,3933,3981,3954,4004,4069,4045,4025,4095,4116,4232,4205,4182,4162,4140,4256,4397,4368,4338,4306,4277,4454,4424,4477,4510,4586,4547,4622,4702,4663,4736,4901,4859,4814,4773,4995,4949,5089,5044,5279,5231,5185,5136,5430,5380,5328,5626,5575,5530,5479,5727,5674,5933,5884,5833,5779,5986,6085,6037,6296,6246,6194,6140,6455,6407,6350,6614,6563,6508,6667,7052,6992,6934,6880,6824,6765,6707,7164,7105,7466,7404,7344,7288,7225,7525,7649,7588,8047,7979,7915,7849,7780,7713,8184,8113,8401,8331,8257
,,,,,,Irkutsk Oblast,Russia,56.6370122,104.719221,"Irkutsk Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,8,8,8,11,14,14,17,21,23,28,35,39,39,45,47,54,55,65,68,75,75,80,85,87,87,95,101,105,123,130,150,177,200,231,237,255,271,289,313,333,353,379,474,499,526,601,698,746,780,863,958,1078,1194,1306,1376,1438,1498,1660,1750,1979,2189,2309,2447,2542,2613,2792,2877,3083,3265,3505,3656,3819,4028,4155,4474,4653,4786,4950,5143,5334,5528,5726,5919,6128,6338,6575,6807,7043,7285,7533,7776,8025,8260,8501,8740,8985,9225,9468,9679,9885,10094,10297,10495,10685,10881,11074,11262,11447,11625,11806,11976,12152,12323,12487,12648,12813,12975,13134,13282,13422,13568,13711,13851,14123,13988,14623,14500,14381,14251,14867,14743,14986,15211,15101,15324,15664,15556,15442,15775,15880,16360,16273,16184,16086,15981,16434,16810,16732,16660,16583,16510,16958,16886,17033,17103,17253,17184,17328,17466,17395,17542,17832,17760,17691,17615,17981,17905,18139,18058,18433,18358,18289,18211,18663,18586,18506,18989,18906,18821,18745,19168,19076,19570,19462,19363,19266,19686,19946,19810,20568,20406,20247,20092,21101,20918,20739,21647,21468,21281,21828,23183,22972,22764,22563,22368,22185,22005,23621,23398,24789,24549,24311,24081,23849,25028,25516,25273,27032,26772,26520,26264,26014,25761,27551,27290,28332,28078,27814
,,,,,,Ivanovo Oblast,Russia,56.9167446,41.43521370000001,"Ivanovo Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,7,7,9,9,11,11,13,23,23,33,47,47,60,60,62,80,86,96,121,136,149,164,183,203,213,225,239,247,263,274,282,296,327,359,403,434,456,485,517,537,595,653,679,758,843,911,921,1023,1124,1192,1245,1291,1313,1360,1415,1463,1505,1566,1602,1639,1686,1745,1813,1900,1977,2057,2140,2205,2322,2447,2577,2705,2822,2930,3031,3130,3228,3323,3417,3508,3599,3685,3768,3853,3934,4017,4098,4176,4253,4330,4405,4479,4550,4621,4691,4761,4829,4898,4965,5034,5102,5168,5232,5304,5371,5436,5501,5565,5629,5691,5752,5813,5876,5938,5998,6059,6116,6172,6222,6265,6303,6330,6352,6377,6401,6426,6452,6479,6500,6546,6522,6650,6623,6597,6572,6700,6676,6756,6813,6785,6845,6941,6909,6876,6974,7009,7175,7143,7110,7075,7042,7210,7397,7360,7321,7285,7248,7471,7433,7509,7549,7634,7591,7675,7757,7715,7800,7968,7925,7883,7842,8052,8009,8138,8096,8315,8271,8228,8184,8452,8407,8360,8654,8603,8550,8500,8764,8708,9014,8946,8881,8822,9081,9222,9151,9531,9448,9370,9295,9790,9702,9616,10064,9970,9879,10161,10908,10798,10690,10581,10474,10368,10264,11133,11019,11720,11601,11481,11363,11246,11843,12097,11969,12911,12768,12629,12491,12356,12224,13203,13058,13646,13497,13349
,,,,,,Jewish Autonomous Okrug,Russia,48.57527615,132.66307460000002,"Jewish Autonomous Okrug, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,8,8,8,9,9,9,10,16,19,20,22,43,52,66,80,86,86,101,113,118,124,131,134,143,145,148,153,159,170,175,179,185,188,212,218,222,225,230,230,236,246,261,262,263,266,267,272,274,281,288,299,309,314,314,317,323,329,336,343,347,350,356,363,367,371,374,374,378,382,386,390,394,397,399,400,404,408,413,417,421,424,426,428,430,433,435,438,441,446,452,457,462,469,476,482,487,491,495,499,503,506,507,509,511,512,514,517,520,523,525,529,532,534,537,538,539,543,541,557,554,550,547,564,560,568,573,570,576,584,582,579,585,587,598,594,592,590,588,602,626,620,615,609,605,639,632,646,655,670,663,677,693,685,700,725,718,712,705,742,733,760,751,808,793,782,772,852,837,823,913,898,883,868,945,929,1034,1008,983,965,1062,1118,1089,1231,1203,1176,1146,1319,1290,1260,1408,1378,1349,1437,1754,1713,1672,1616,1553,1496,1466,1835,1794,2037,1996,1956,1916,1874,2093,2195,2146,2425,2396,2360,2318,2277,2237,2489,2455,2556,2534,2512
,,,,,,Kabardino-Balkarian Republic,Russia,43.4806048,43.5978976,"Kabardino-Balkarian Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,6,6,8,8,8,8,8,8,13,23,23,27,30,35,50,50,50,69,92,114,136,152,170,193,218,243,272,300,329,367,412,456,499,544,634,739,820,925,1008,1089,1168,1245,1325,1401,1475,1548,1619,1690,1759,1824,1886,1952,2020,2091,2171,2251,2334,2422,2509,2592,2673,2750,2827,2903,2978,3052,3126,3199,3272,3348,3424,3499,3576,3655,3734,3815,3895,3975,4055,4132,4209,4285,4361,4436,4511,4585,4656,4726,4791,4851,4905,4958,5010,5061,5109,5157,5204,5251,5297,5343,5388,5433,5477,5520,5562,5604,5645,5686,5726,5751,5771,5791,5807,5823,5839,5855,5870,5885,5900,5916,5931,5946,5962,5977,5993,6008,6024,6055,6039,6112,6098,6084,6069,6143,6127,6158,6190,6174,6207,6256,6239,6223,6273,6289,6377,6358,6340,6323,6305,6397,6514,6488,6463,6439,6417,6570,6542,6599,6629,6691,6659,6724,6792,6757,6827,6981,6941,6901,6864,7065,7023,7149,7106,7319,7276,7234,7191,7441,7400,7360,7612,7567,7525,7483,7712,7662,7934,7877,7820,7765,7994,8118,8054,8414,8336,8261,8188,8656,8574,8494,8906,8822,8739,8990,9652,9564,9476,9386,9293,9198,9098,9831,9742,10268,10182,10096,10009,9921,10353,10522,10438,11021,10937,10854,10771,10689,10606,11190,11106,11450,11362,11275
,,,,,,Kaliningrad Oblast,Russia,54.7293041,21.1489473,"Kaliningrad Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,5,5,5,7,7,7,7,8,8,8,11,11,12,12,12,19,19,19,19,19,48,49,52,62,65,70,74,79,84,92,104,115,126,138,144,163,171,189,210,236,264,303,326,358,395,438,479,524,566,583,599,637,671,713,753,772,812,848,881,916,952,978,1010,1042,1076,1117,1158,1201,1244,1294,1338,1376,1409,1460,1508,1553,1607,1642,1665,1700,1736,1776,1813,1858,1904,1946,1984,2027,2072,2112,2124,2161,2195,2227,2262,2292,2321,2348,2356,2373,2392,2411,2426,2436,2446,2455,2472,2487,2505,2521,2539,2553,2564,2578,2591,2605,2615,2627,2636,2648,2662,2676,2691,2705,2718,2729,2736,2746,2759,2775,2790,2805,2821,2835,2854,2875,2898,2917,2929,2942,2933,3000,2987,2973,2958,3035,3018,3054,3078,3065,3098,3170,3147,3121,3179,3194,3304,3283,3260,3230,3212,3330,3430,3415,3393,3369,3348,3463,3446,3483,3502,3543,3523,3568,3626,3596,3655,3775,3744,3712,3685,3842,3810,3906,3875,4041,4007,3975,3941,4156,4118,4079,4333,4281,4231,4194,4446,4387,4711,4635,4570,4506,4776,4903,4840,5185,5110,5038,4970,5422,5344,5264,5652,5574,5495,5732,6353,6266,6176,6090,6005,5911,5832,6532,6442,7057,6946,6841,6740,6634,7177,7420,7299,8195,8060,7927,7797,7669,7545,8483,8338,8940,8789,8634
,,,,,,Kalmykia Republic,Russia,46.2313018,45.3275745,"Kalmykia Republic, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7,7,7,7,11,15,23,23,32,32,32,32,35,36,53,67,74,77,77,88,94,104,122,146,158,167,183,192,231,254,283,321,322,351,379,405,455,473,494,497,532,567,618,655,693,721,721,744,776,810,856,879,903,903,944,973,999,1019,1054,1074,1085,1108,1127,1136,1149,1168,1179,1180,1203,1215,1233,1247,1263,1272,1272,1288,1292,1300,1314,1327,1339,1340,1362,1392,1410,1442,1462,1481,1483,1523,1717,1839,1878,1915,1947,1947,1987,2028,2073,2107,2149,2182,2182,2220,2275,2315,2346,2363,2371,2371,2405,2410,2439,2476,2495,2510,2512,2561,2589,2621,2640,2659,2705,2788,2725,3005,2952,2897,2839,3052,3047,3121,3237,3173,3289,3413,3407,3360,3472,3530,3784,3775,3721,3669,3600,3856,4269,4137,4054,3981,3913,4411,4326,4490,4573,4740,4655,4823,4966,4882,5056,5378,5315,5247,5159,5488,5451,5612,5551,5885,5823,5750,5681,6090,6021,5954,6359,6300,6232,6162,6503,6424,6811,6735,6657,6578,6888,7041,6965,7363,7279,7196,7119,7615,7535,7448,7869,7780,7700,7956,8610,8514,8420,8323,8227,8133,8041,8805,8709,9278,9188,9095,8998,8899,9374,9559,9468,10115,10027,9935,9846,9748,9656,10293,10200,10528,10455,10380
,,,,,,Kaluga Oblast,Russia,54.4382773,35.5272854,"Kaluga Oblast, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,6,6,7,11,11,11,18,24,24,34,49,74,102,122,151,188,228,258,330,383,444,513,583,639,706,772,885,1006,1065,1136,1217,1309,1407,1486,1564,1641,1730,1828,1924,2018,2115,2213,2312,2409,2518,2632,2750,2871,2998,3123,3246,3354,3459,3560,3653,3744,3834,3923,4009,4092,4179,4270,4357,4431,4511,4600,4691,4761,4829,4923,5011,5091,5169,5246,5321,5399,5462,5522,5580,5640,5694,5744,5788,5834,5880,5925,5973,6018,6066,6117,6170,6222,6272,6321,6368,6413,6458,6509,6559,6608,6656,6697,6742,6781,6818,6854,6889,6923,6957,6987,7020,7044,7067,7090,7111,7133,7155,7179,7204,7232,7260,7286,7338,7311,7443,7416,7390,7363,7491,7469,7516,7571,7543,7598,7679,7654,7625,7702,7728,7882,7853,7823,7792,7759,7910,8055,8023,7993,7964,7936,8108,8079,8134,8166,8222,8195,8251,8300,8273,8329,8472,8433,8396,8361,8534,8502,8622,8574,8783,8759,8714,8672,8910,8863,8823,9128,9071,9009,8958,9241,9180,9519,9443,9376,9311,9594,9752,9674,10083,9999,9914,9834,10359,10269,10177,10634,10539,10447,10735,11421,11322,11220,11117,11019,10924,10817,11624,11521,12171,12052,11941,11832,11731,12291,12543,12416,13348,13209,13073,12935,12800,12672,13618,13482,14033,13895,13755
,,,,,,Kamchatka Krai,Russia,57.1914882,160.03838190000005,"Kamchatka Krai, Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,10,10,10,10,10,21,29,29,34,41,48,63,78,84,87,110,195,203,241,265,281,286,311,339,347,348,350,353,363,376,384,398,418,429,443,461,477,495,515,536,554,572,595,627,658,678,700,725,759,805,849,881,916,949,984,1033,1085,1125,1168,1214,1255,1306,1360,1409,1454,1496,1536,1575,1617,1662,1714,1755,1793,1834,1927,1969,2008,2052,2093,2145,2190,2245,2293,2334,2380,2422,2469,2514,2560,2602,2640,2676,2713,2757,2798,2840,2876,2910,2945,2982,3017,3051,3086,3122,3160,3201,3240,3270,3289,3314,3336,3362,3378,3401,3414,3442,3427,3516,3501,3483,3456,3538,3526,3553,3586,3569,3601,3641,3627,3615,3654,3667,3779,3768,3759,3748,3737,3791,3852,3841,3828,3816,3803,3877,3864,3901,3915,3942,3929,3955,3981,3967,3996,4099,4078,4053,4026,4145,4122,4198,4173,4291,4266,4244,4224,4369,4343,4316,4469,4443,4418,4394,4519,4494,4625,4598,4572,4545,4653,4716,4681,4856,4819,4786,4751,4979,4937,4896,5121,5071,5024,5171,5521,5470,5419,5369,5318,5267,5216,5622,5571,5890,5834,5778,5723,5672,5947,6062,6004,6420,6360,6301,6241,6182,6122,6538,6478,6715,6657,6597
