Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20
,Maldives,3.2028,73.2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,8,9,10,13,13,13,13,13,13,13,13
,Bangladesh,23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5,6,7,10,13,16,20,22
,Paraguay,-23.4425,-58.4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6,8,9,11,11,13,17,21
Ontario,Canada,51.2538,-85.3232,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,3,3,8,12,15,17,17,19,22,24,25,30,32,37,38,70,75,100,172,179,215,251,301,368,414
Alberta,Canada,53.9333,-116.5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,7,19,19,29,29,39,56,74,97,119,145,194,258
Quebec,Canada,52.9399,-73.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,4,8,9,17,17,24,50,74,94,120,138,176,214
,Albania,41.1533,20.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,22,32,37,41,50,54,57,62,68,72,85
,Cyprus,35.1264,33.4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26,33,46,49,67,67,84,91
,Brunei,4.5353,114.7277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,77,81,86
Washington,US,47.4009,-121.4905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,336,410,530,534,602,855,1020,959,1302,1441,1699,1901
New York,US,42.1657,-74.9481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,220,328,421,523,729,957,1693,2479,5331,8268,11650,15676
California,US,36.1162,-119.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,172,211,272,329,414,544,680,738,934,1154,1340,1612
Massachusetts,US,42.2302,-71.5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,94,107,122,137,163,196,217,218,328,412,524,641
Diamond Princess,US,35.4437,139.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,42,42,44,44,44,45,45,45,45,45,45,45,45,46,46,46,46,46,46,47,47,47,47,49,49,49
Grand Princess,US,37.6489,-122.6655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,20,21,21,22,23,23,29
Georgia,US,33.0406,-83.6431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,30,41,65,98,120,145,196,277,407,493,577
Colorado,US,39.0598,-105.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,45,49,100,130,159,158,182,273,359,386,470
Florida,US,27.7663,-81.6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,33,48,73,111,150,210,307,408,553,646,817
New Jersey,US,40.2989,-74.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,28,28,68,96,175,263,264,733,879,1311,1894
Oregon,US,44.572,-122.0709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,24,30,32,35,38,65,66,85,111,109,157
Texas,US,31.0545,-97.5635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,27,43,57,72,85,109,170,255,389,576,621
Illinois,US,40.3495,-88.9861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,30,44,62,91,103,158,161,418,580,747,1040
Pennsylvania,US,40.5908,-77.2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,22,41,47,66,77,112,152,205,302,394,506
Iowa,US,42.0115,-93.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,16,17,17,18,23,23,29,44,45,68,90
Maryland,US,39.0639,-76.8021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,18,26,32,38,57,85,106,148,191,241
North Carolina,US,35.6301,-79.8064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,17,24,33,38,64,70,123,172,253,302
South Carolina,US,33.8569,-80.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,13,19,28,32,46,46,80,125,168,193
Tennessee,US,35.7478,-86.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,18,26,32,39,52,74,79,154,233,370,503
Virginia,US,37.7693,-78.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,17,30,40,44,48,65,75,97,120,154,215
Arizona,US,33.7298,-111.4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8,11,12,17,19,27,45,78,117,150
Indiana,US,39.8494,-86.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,13,16,20,24,28,37,58,84,124,195
Kentucky,US,37.6681,-84.6701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,14,14,20,19,24,26,35,45,84,96
District of Columbia,US,38.8974,-77.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,16,22,22,31,40,70,76,100
Nevada,US,38.3135,-117.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,17,21,24,44,55,54,94,113,159,188
New Hampshire,US,43.4525,-71.5639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,7,13,17,26,26,44,44,55,65
Minnesota,US,45.6945,-93.9002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,14,21,35,54,60,77,89,115,137,168
Nebraska,US,41.1254,-98.2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,13,14,17,18,21,24,29,37,38,51
Ohio,US,40.3888,-82.7649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,13,26,37,50,67,86,119,171,245,352
Rhode Island,US,41.6809,-71.5118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,14,20,20,21,23,33,44,54,66,83
Wisconsin,US,44.2685,-89.6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,18,26,31,46,71,92,159,204,278,377
Connecticut,US,41.5978,-72.7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,22,24,30,68,68,157,191,190,218
Hawaii,US,21.0943,-157.4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,6,7,10,14,16,26,37,48
Oklahoma,US,35.5653,-96.9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,7,10,19,19,43,48,52,65
Utah,US,40.15,-111.8624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,10,28,39,51,51,80,78,136,180
,Burkina Faso,12.2383,-1.5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,19,32,39,57,66
,Holy See,41.9029,12.4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Mongolia,46.8625,103.8467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,6,6,6,10,10
,Panama,8.538,-80.7821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,26,35,42,54,68,85,108,136,199,242
Kansas,US,38.5266,-96.7265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,7,10,17,17,33,43,55,62
Louisiana,US,31.1695,-91.8678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19,36,76,89,133,192,253,382,524,569,817
Missouri,US,38.4561,-92.2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,6,11,18,30,51,71,97
Vermont,US,44.0459,-72.7107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,8,12,12,18,22,27,27,50
Alaska,US,61.3707,-152.4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,12,15,21
Arkansas,US,34.9697,-92.3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,16,22,22,33,62,96,122,165
Delaware,US,39.3185,-75.5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,8,16,19,30,38,45,47
Idaho,US,44.2405,-114.4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,8,9,11,23,36,42
Maine,US,44.6939,-69.3819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,32,42,52,56,70,89
Michigan,US,43.3266,-84.5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,25,33,53,65,83,331,549,783,1028
Mississippi,US,32.7416,-89.6787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,13,21,34,49,79,139,206
Montana,US,46.9219,-110.4544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,7,9,11,11,15,21,31
New Mexico,US,34.8405,-106.2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,10,13,17,23,23,35,43,43,57
North Dakota,US,47.5289,-99.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,18,19,28,28
South Dakota,US,44.2998,-99.4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,8,9,10,10,10,13,13,20
West Virginia,US,38.4912,-80.9545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8,12
Wyoming,US,42.756,-107.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,11,15,18,19,23,24
Hubei,China,30.9756,112.2707,399,399,494,689,964,1302,3349,3341,4651,5461,6736,10532,12722,15677,18483,20677,23139,24881,26965,28532,29659,29612,43437,48175,49030,49847,50338,50633,49665,48510,48637,46439,46395,45044,43252,41603,39572,36829,34617,32610,30366,28174,25904,23972,22628,21207,19486,18247,16993,15593,14407,13171,11755,10421,9557,8685,7751,6988,6285,5715,5223
,Iran,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,23,35,49,79,71,170,281,427,749,1144,1968,2278,2667,3710,4009,4238,4530,5020,5687,6687,7891,9159,8624,9548,9792,10837,11413,11466,11419,12022
,"Korea, South",36,128,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,23,23,22,24,25,21,21,21,19,20,20,19,19,87,186,415,578,807,945,1227,1731,2302,3107,3689,4277,5128,5545,6012,6416,6862,7146,7307,7212,7407,7470,7403,7504,7577,7024,6832,6789,6934,7018,7157,5884
France,France,46.2276,2.2137,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,9,9,9,7,7,7,7,7,7,7,7,7,7,2,5,25,44,86,116,176,188,269,359,632,926,1095,1178,1739,2221,2221,3570,4366,4396,6473,7492,8883,10616,12150,13708,13144
Guangdong,China,23.3417,113.4244,26,30,51,76,109,147,203,272,344,425,521,617,704,783,846,901,945,982,989,991,964,943,925,897,882,849,794,759,720,685,638,606,581,553,518,489,450,406,359,326,284,242,210,163,129,108,89,84,71,66,59,52,49,48,47,49,49,52,64,67,70
Henan,China,33.882,113.614,5,5,9,32,82,127,167,203,274,347,417,481,548,646,715,793,825,861,874,876,880,881,863,816,808,778,721,716,670,609,512,421,384,309,250,219,184,140,81,52,45,19,16,11,6,6,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
Zhejiang,China,29.1832,120.0934,10,27,42,61,103,127,170,293,424,524,578,629,681,767,817,860,883,873,874,850,847,810,785,752,734,711,664,637,570,541,523,485,444,422,396,337,272,229,188,158,136,119,98,90,67,60,53,38,23,19,17,17,15,19,14,15,15,15,14,16,17
Hunan,China,27.6104,111.7088,4,9,24,43,69,100,143,221,275,330,381,447,499,562,607,630,660,646,651,670,664,640,627,622,574,537,505,476,443,372,346,317,298,281,244,229,209,183,168,148,127,108,98,76,59,54,46,35,24,19,15,9,0,0,0,0,0,0,0,0,0
Anhui,China,31.8257,117.2264,1,9,15,39,60,70,106,150,198,234,292,333,394,460,507,557,618,674,706,739,751,758,748,735,723,701,687,615,567,507,443,386,346,320,271,239,191,163,116,111,67,48,28,14,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangxi,China,27.614,115.7221,2,7,18,18,36,70,106,106,157,233,277,321,373,456,521,563,616,643,667,665,675,691,701,712,702,684,654,622,571,500,444,378,320,288,250,214,179,144,123,103,84,64,50,33,25,18,15,11,7,2,0,0,0,0,0,0,0,0,0,0,1
Shandong,China,36.3427,118.1498,2,6,15,27,46,75,95,129,157,182,203,224,252,264,292,320,349,372,380,399,406,403,402,385,374,362,348,329,310,288,464,444,429,407,395,373,363,345,329,309,292,241,236,174,134,125,110,52,33,28,20,14,12,12,7,8,8,7,7,8,9
Diamond Princess,Cruise Ship,35.4437,139.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,64,135,135,175,175,218,285,355,454,542,620,631,631,631,688,688,688,691,691,689,689,689,689,690,690,690,650,650,650,650,650,364,364,364,364,364,364,364,380,380,380,379,379
Jiangsu,China,32.9711,119.455,1,5,9,17,32,46,69,98,128,163,196,229,263,296,318,339,365,388,397,411,422,418,431,436,418,399,368,349,313,275,258,230,213,179,173,153,133,116,108,95,88,69,54,48,37,25,19,10,4,4,2,1,1,0,0,0,0,0,0,0,2
Chongqing,China,30.0572,107.874,6,9,27,57,75,110,132,146,181,210,243,291,326,355,372,385,393,387,415,418,423,413,397,380,355,339,323,296,281,262,250,239,234,221,198,186,169,148,132,120,101,80,68,58,57,44,43,28,23,16,6,4,1,0,0,0,0,0,0,0,1
Sichuan,China,30.6171,102.7103,5,8,15,28,44,69,90,106,140,175,203,219,239,267,276,289,301,303,314,324,331,343,346,348,350,347,336,336,323,300,291,273,262,248,237,221,210,197,184,170,149,141,129,111,94,82,72,70,58,48,38,33,25,20,20,17,12,1,2,3,4
Heilongjiang,China,47.862,127.7615,0,2,3,8,14,20,32,37,42,57,76,91,117,149,181,216,262,277,287,294,324,339,353,361,346,355,361,342,338,328,292,263,246,241,225,219,197,184,166,125,111,101,94,89,72,65,56,38,34,33,28,23,22,16,14,13,10,10,8,8,5
Denmark,Denmark,56.2639,9.5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,10,10,22,22,34,89,261,441,614,800,825,861,910,972,1052,1144,1245,1312,1381
Beijing,China,40.1824,116.4142,14,22,35,39,66,77,86,106,109,133,158,181,199,204,228,242,263,279,287,291,291,293,294,289,273,268,263,261,244,238,223,217,206,197,181,161,157,146,132,129,124,118,113,113,115,115,112,105,101,101,93,86,80,81,84,79,83,92,93,100,106
Shanghai,China,31.202,121.4491,9,16,19,32,38,49,61,90,106,125,158,171,192,206,227,231,246,244,248,250,250,253,252,227,201,187,171,155,145,133,121,105,83,71,65,62,58,55,47,44,42,41,37,33,33,26,25,24,22,21,20,19,26,26,27,30,32,34,42,50,62
Hebei,China,39.549,116.1306,1,0,1,7,12,17,32,47,64,81,95,100,109,121,128,143,149,164,170,175,189,195,194,193,187,192,176,166,150,133,119,100,86,71,57,45,37,35,30,18,16,12,11,8,7,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,3
Fujian,China,26.0789,117.9874,1,5,10,18,35,59,80,84,101,120,144,159,178,191,194,201,204,215,215,222,222,219,222,218,214,205,200,199,181,166,143,130,122,109,94,75,67,60,52,48,40,35,25,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11
Guangxi,China,23.8298,108.7881,2,5,23,23,36,46,49,56,76,85,98,109,120,129,137,154,155,166,176,185,181,189,187,188,189,186,183,171,156,153,147,143,141,137,116,103,89,82,74,69,58,48,40,36,33,32,27,20,16,12,9,7,7,7,2,3,1,1,2,2,2
Shaanxi,China,35.1917,108.8701,0,3,5,15,22,35,46,56,63,87,101,116,128,140,159,164,167,175,183,183,187,182,183,176,172,165,161,151,140,126,110,95,81,71,58,52,49,45,37,36,28,28,21,20,18,18,17,17,17,12,11,11,11,11,10,7,6,6,7,6,6
Yunnan,China,24.974,101.487,1,2,5,11,16,26,44,55,70,82,91,102,112,117,123,126,126,121,123,130,133,128,129,126,126,129,124,115,111,93,76,65,57,48,43,28,22,16,15,9,4,3,3,3,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2
Hainan,China,19.1959,109.7453,4,5,8,19,22,32,39,42,44,50,60,59,67,74,93,97,105,108,109,116,121,126,123,112,119,106,100,80,80,78,69,60,57,47,39,34,32,30,15,14,12,8,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
Guizhou,China,26.8154,106.8748,1,3,3,4,5,7,9,8,11,27,27,36,44,56,54,64,74,81,91,98,109,114,107,111,101,97,88,78,74,72,67,54,42,42,40,40,32,32,32,32,30,30,30,30,30,29,27,21,15,11,7,4,1,1,0,1,0,0,0,0,0
Tianjin,China,39.3054,117.323,4,4,8,10,14,23,24,27,31,32,41,47,59,65,66,76,78,83,86,86,94,99,95,86,82,76,76,77,73,69,67,67,51,45,41,36,31,31,24,22,22,9,9,5,5,5,5,3,2,2,1,1,1,0,0,0,0,1,1,1,1
Shanxi,China,37.5777,112.2922,1,1,1,6,9,13,27,26,34,38,46,63,72,77,76,84,89,94,94,94,94,93,90,89,82,79,77,70,63,56,54,51,44,39,35,29,26,21,19,17,14,9,9,7,7,7,7,6,2,2,1,0,0,0,0,0,0,0,0,0,0
Gansu,China,37.8099,101.0583,0,2,2,4,7,14,19,24,26,29,40,48,52,53,56,56,58,66,65,64,60,54,49,49,39,34,31,27,24,18,13,13,11,9,9,8,8,7,7,5,4,3,2,13,30,31,35,34,35,37,37,37,38,40,40,40,40,41,34,19,20
Hong Kong,China,22.3,114.2,0,2,2,5,8,8,8,10,10,12,13,15,15,16,20,23,24,25,28,37,48,48,51,54,54,54,57,59,56,60,61,61,61,58,63,65,66,62,60,58,62,61,66,60,59,55,53,53,52,58,59,53,58,60,67,70,85,109,154,171,213
Liaoning,China,41.2956,122.6085,2,3,4,17,21,27,34,38,40,47,63,69,73,79,85,89,92,97,95,95,92,95,94,89,87,80,77,67,65,61,59,54,47,40,37,32,27,27,24,18,18,18,18,18,18,17,15,15,13,13,12,12,11,10,9,4,2,2,2,2,0
